 ,Area,Mean,Min,Max,X,Y
314,0,53,53,53,232.531,139.375
315,0,169,169,169,232.281,140.750
316,0,175,175,175,232.312,143.438
317,0,165,165,165,232.219,145.938
318,0,165,165,165,232.219,148.438
319,0,255,255,255,233.042,153.625
320,0,146,146,146,232.708,156.583
321,0,138,138,138,232.792,158.625
322,0,255,255,255,233.042,160.875
323,0,114,114,114,232.625,163.875
324,0,103,103,103,232.667,165.458
325,0,77,77,77,232.458,168.250
326,0,255,255,255,233.042,170.125
327,0,53,53,53,232.625,172.667
328,0,40,40,40,232.958,174.292
329,0,21,21,21,232.833,176.333
330,0,10,10,10,232.708,179.125
331,0,245,245,245,233.208,180.708
332,0,251,251,251,234.000,183.958
333,0,202,202,202,233.500,186.125
334,0,176,176,176,233.458,188.000
335,0,154,154,154,233.667,190.125
336,0,148,148,148,233.667,191.792
337,0,252,252,252,234.167,194.667
338,0,253,253,253,234.458,198.333
339,0,251,251,251,234.375,200.833
340,0,239,239,239,234.667,203.208
341,0,232,232,232,234.542,204.958
342,0,252,252,252,235.208,207.375
343,0,175,175,175,234.917,210.917
344,0,95,95,95,234.875,214.000
345,0,255,255,255,235.000,215.708
346,0,250,250,250,235.250,217.583
347,0,249,249,249,235.292,222.542
348,0,225,225,225,235.208,224.000
349,0,215,215,215,235.583,225.000
350,0,182,182,182,235.292,227.125
351,0,130,130,130,235.500,230.500
352,0,80,80,80,235.708,233.000
353,0,250,250,250,236.458,236.125
354,0,214,214,214,236.542,238.167
355,0,172,172,172,236.083,241.417
356,0,156,156,156,236.667,243.542
357,0,137,137,137,236.542,245.042
358,0,131,131,131,236.750,246.500
359,0,105,105,105,236.625,250.542
360,0,70,70,70,236.917,252.792
361,0,48,48,48,236.708,253.875
362,0,232,232,232,237.167,256.292
363,0,95,95,95,237.583,259.792
364,0,4,4,4,237.833,261.250
365,0,242,242,242,238.542,261.875
366,0,255,255,255,239.167,263.833
367,0,243,243,243,240.083,265.167
368,0,240,240,240,240.375,266.542
369,0,161,161,161,241.625,268.292
370,0,237,237,237,244.958,270.958
371,0,116,116,116,248.042,272.125
372,0,197,197,197,249.708,272.958
373,0,20,20,20,252.000,274.042
374,0,12,12,12,254.458,275.000
375,0,11,11,11,257.167,276.333
376,0,247,247,247,259.375,276.833
377,0,227,227,227,261.000,277.708
378,0,102,102,102,262.958,278.750
379,0,139,139,139,264.875,279.583
380,0,49,49,49,267.292,281.375
381,0,0,0,0,268.083,282.333
382,0,108,108,108,269.250,282.708
383,0,0,0,0,271.458,284.167
384,0,55,55,55,272.250,284.708
385,0,0,0,0,274.375,286.083
386,0,0,0,0,275.625,287.167
387,0,11,11,11,276.458,287.708
